alg,label,problema,tier,dist,n7,n7_nd,fantasia,igdp7,hv7,igdp7nd,hv7nd
b5m,MMF16_20,MMF16_20,main,lhs,105,45,0.42857142857142855,0.07016404498617701,0.5976435097765123,0.07016404498617701,0.5976435097765123
b5m,MMF4,MMF4,main,lhs,50,32,0.64,0.03258732845114246,0.4687214788670528,0.03258732845114246,0.4687214788670528
b5m,WFG1,WFG1,main,lhs,50,24,0.48,0.9769194671211174,0.0,0.9769194671211174,0.0
b5m,WFG2,WFG2,main,lhs,50,14,0.28,0.229956976417573,0.41900404732047614,0.229956976417573,0.41900404732047614
b5m,WFG4,WFG4,main,lhs,50,21,0.42,0.13604521352414353,0.18919932058988495,0.13604521352414353,0.18919932058988495
b5m,WFG5,WFG5,main,lhs,50,21,0.42,0.3176703521194691,0.03913227966117872,0.3176703521194691,0.03913227966117872
b5m,WFG9,WFG9,main,lhs,50,19,0.38,0.32324082960034933,0.030569214725756567,0.32324082960034933,0.030569214725756567
b5m,ZDT1,ZDT1,main,lhs,50,13,0.26,1.1364037520830672,0.0,1.1364037520830672,0.0
b5m,ZDT3,ZDT3,main,lhs,50,12,0.24,1.2962966284320532,0.0,1.2962966284320532,0.0
b5m,ZDT4,ZDT4,main,lhs,50,13,0.26,46.72665736750811,0.0,46.72665736750811,0.0
b5m,ZDT6,ZDT6,main,lhs,50,12,0.24,6.636510736363153,0.0,6.636510736363153,0.0
b5m,swap_medium-lhs_DTLZ2,DTLZ2,medium,lhs,105,66,0.6285714285714286,0.06522322281380545,0.6152827350812673,0.06522322281380545,0.6152827350812673
b5m,swap_medium-lhs_MMF16_20,MMF16_20,medium,lhs,105,40,0.38095238095238093,0.9554466398286063,0.0,0.9554466398286063,0.0
b5m,swap_medium-lhs_WFG9,WFG9,medium,lhs,50,20,0.4,0.21726768369615437,0.12588889266660241,0.21726768369615437,0.12588889266660241
b5m,swap_medium-lhs_ZDT1,ZDT1,medium,lhs,50,22,0.44,1.274892214441708,0.0,1.274892214441708,0.0
b5m,swap_medium-lhs_ZDT4,ZDT4,medium,lhs,50,2,0.04,194.10539922644278,0.0,194.10539922644278,0.0
b5m,swap_medium-mvns_DTLZ2,DTLZ2,medium,mvns,105,34,0.3238095238095238,0.3006700608837325,0.1561382349382182,0.3006700608837325,0.1561382349382182
b5m,swap_medium-mvns_MMF16_20,MMF16_20,medium,mvns,105,19,0.18095238095238095,0.35964959909390976,0.3101855959622595,0.35964959909390976,0.3101855959622595
b5m,swap_medium-mvns_WFG9,WFG9,medium,mvns,50,21,0.42,0.14701111213317114,0.2251181347733474,0.14701111213317114,0.2251181347733474
b5m,swap_medium-mvns_ZDT1,ZDT1,medium,mvns,50,27,0.54,1.0392303921031798,0.0,1.0392303921031798,0.0
b5m,swap_medium-mvns_ZDT4,ZDT4,medium,mvns,50,50,1.0,210.2757193510589,0.0,210.2757193510589,0.0
b5m,swap_small-lhs_DTLZ2,DTLZ2,small,lhs,105,83,0.7904761904761904,0.05688964973092999,0.6660228277889934,0.05688964973092999,0.6660228277889934
b5m,swap_small-lhs_MMF16_20,MMF16_20,small,lhs,105,45,0.42857142857142855,0.07016404498617701,0.5976435097765123,0.07016404498617701,0.5976435097765123
b5m,swap_small-lhs_WFG9,WFG9,small,lhs,50,19,0.38,0.32324082960034933,0.030569214725756567,0.32324082960034933,0.030569214725756567
b5m,swap_small-lhs_ZDT1,ZDT1,small,lhs,50,13,0.26,1.1364037520830672,0.0,1.1364037520830672,0.0
b5m,swap_small-lhs_ZDT4,ZDT4,small,lhs,50,13,0.26,46.72665736750811,0.0,46.72665736750811,0.0
b5m,swap_small-mvns_DTLZ2,DTLZ2,small,mvns,105,38,0.3619047619047619,0.25672441727149076,0.1427774342195891,0.25672441727149076,0.1427774342195891
b5m,swap_small-mvns_MMF16_20,MMF16_20,small,mvns,105,52,0.49523809523809526,0.13808707553010616,0.41932907700741673,0.13808707553010616,0.41932907700741673
b5m,swap_small-mvns_WFG9,WFG9,small,mvns,50,19,0.38,0.21585779231176816,0.18072997498369991,0.21585779231176816,0.18072997498369991
b5m,swap_small-mvns_ZDT1,ZDT1,small,mvns,50,46,0.92,1.5715033269870011,0.0,1.5715033269870011,0.0
b5m,swap_small-mvns_ZDT4,ZDT4,small,mvns,50,1,0.02,230.33197698523173,0.0,230.33197698523173,0.0
moead_media,BBOB_F1,BBOB_F1,main,lhs,50,29,0.58,0.057109701971287015,0.9262436567510618,0.057109701971287015,0.9262436567510618
moead_media,BBOB_F17,BBOB_F17,main,lhs,50,50,1.0,0.5603489390410448,0.3115960169957207,0.5603489390410448,0.3115960169957207
moead_media,BBOB_F22,BBOB_F22,main,lhs,50,17,0.34,0.7410118190857242,0.14327075377091925,0.7410118190857242,0.14327075377091925
